MSE,,?,,,,,
,,10,1,0.1,0.01,0.001,0.0001
?_k,300,55.37,29.44,14.09,11.21,14.18,23.88
,310,55.59,29.56,14.06,11.13,14.11,23.63
,320,55.82,29.67,14.03,11.05,14.05,23.38
,330,56.04,29.79,14.01,10.97,13.98,23.13
,340,56.27,29.91,13.99,10.90,13.91,22.90
,350,56.49,30.03,13.97,10.83,13.85,22.69
,360,56.72,30.15,13.96,10.77,13.78,22.48
,370,56.94,30.27,13.95,10.71,13.70,22.29
,380,57.17,30.39,13.94,10.66,13.62,22.11
,390,57.39,30.51,13.94,10.61,13.54,21.94
,400,57.62,30.63,13.94,10.57,13.45,21.79
,410,57.84,30.75,13.94,10.52,13.36,21.64
,420,58.06,30.87,13.94,10.49,13.26,21.51
,430,58.29,30.99,13.94,10.45,13.17,21.38
,440,58.51,31.11,13.95,10.42,13.07,21.26
,450,58.73,31.23,13.95,10.40,12.97,21.15
,460,58.95,31.35,13.96,10.37,12.87,21.03
,470,59.18,31.47,13.97,10.35,12.77,20.92
,480,59.40,31.59,13.98,10.33,12.67,20.81
,490,59.62,31.71,13.99,10.31,12.58,20.70
,500,59.84,31.83,14.00,10.30,12.49,20.58
,510,60.05,31.95,14.02,10.28,12.40,20.47
,520,60.27,32.07,14.03,10.27,12.32,20.35
,530,60.49,32.19,14.05,10.26,12.24,20.23
,540,60.70,32.31,14.06,10.25,12.16,20.10
,550,60.92,32.43,14.08,10.25,12.09,19.97
,560,61.14,32.55,14.10,10.24,12.03,19.84
,570,61.35,32.67,14.11,10.24,11.96,19.71
,580,61.56,32.80,14.13,10.23,11.90,19.57
,590,61.78,32.92,14.15,10.23,11.85,19.44
,600,61.99,33.04,14.17,10.23,11.80,19.30
